CustomerID,CustomerName,Segment,City,Region,Country
C0001,Customer 0001,Consumer,Ahmedabad,West,India
C0002,Customer 0002,Consumer,Hyderabad,South,India
C0003,Customer 0003,Corporate,Mumbai,West,India
C0004,Customer 0004,Corporate,Ranchi,East,India
C0005,Customer 0005,Consumer,Jaipur,North,India
C0006,Customer 0006,Consumer,Surat,West,India
C0007,Customer 0007,Corporate,Pune,West,India
C0008,Customer 0008,Consumer,Surat,West,India
C0009,Customer 0009,Consumer,Chandigarh,North,India
C0010,Customer 0010,Consumer,Kochi,South,India
C0011,Customer 0011,Corporate,Bengaluru, south ,India
C0012,Customer 0012,Corporate,Mumbai,West,India
C0013,Customer 0013,Consumer,Guwahati,East,India
C0014,Customer 0014,Consumer,Ahmedabad,West,India
C0015,Customer 0015,Consumer,Hyderabad,South,India
C0016,Customer 0016,Consumer,Chandigarh,North,India
C0017,Customer 0017,Consumer,Ranchi,East,India
C0018,Customer 0018,Consumer,Chandigarh,North,India
C0019,Customer 0019,Corporate,Ahmedabad,West,India
C0020,Customer 0020,Consumer,Ranchi,East,India
C0021,Customer 0021,Consumer,Ahmedabad,West,India
C0022,Customer 0022,Consumer,Hyderabad,South,India
C0023,Customer 0023,Small Business,Surat,West,India
C0024,Customer 0024,Corporate,Surat,West,India
C0025,Customer 0025,Consumer,Pune,West,India
C0026,Customer 0026,Small Business,Chandigarh,North,India
C0027,Customer 0027,Consumer,Bengaluru,South,India
C0028,Customer 0028,Consumer,Jaipur,North,India
C0029,Customer 0029,Small Business,Lucknow,North,India
C0030,Customer 0030,Consumer,Bhubaneswar,East,India
C0031,Customer 0031,Consumer,Pune,West,India
C0032,Customer 0032,Corporate,Mumbai,West,India
C0033,Customer 0033,Consumer,Chennai,South,India
C0034,Customer 0034,Corporate,Bengaluru,South,India
C0035,Customer 0035,Consumer,Kochi,South,India
C0036,Customer 0036,Consumer,Jaipur,North,India
C0037,Customer 0037,Consumer,Delhi,North,India
C0038,Customer 0038,Consumer,Bengaluru,South,India
C0039,Customer 0039,Consumer,Lucknow,North,India
C0040,Customer 0040,Consumer,Ranchi,East,India
C0041,Customer 0041,Small Business,Kochi,South,India
C0042,Customer 0042,Consumer,Mumbai,West,India
