ProductID,ProductName,Category,SubCategory,UnitCost,UnitPrice
P001,Laptops Product 01,Technology,Laptops,557.25,773.26
P002,Laptops Product 02,Technology,Laptops,462.29,669.52
P003,Laptops Product 03,Technology,Laptops,436.23,636.79
P004,  Laptops Product 04  ,Technology,Laptops,518.37,619.09
P005,Laptops Product 05,Technology,Laptops,435.42,631.5
P006,Laptops Product 06,Technology,Laptops,470.1,707.84
P007,Laptops Product 07,Technology,Laptops,546.34,780.87
P008,Laptops Product 08,Technology,Laptops,467.77,670.58
P009,Laptops Product 09,Technology,Laptops,576.57,684.17
P010,Laptops Product 10,Technology,Laptops,475.5,591.46
P011,Monitors Product 01,Technology,Monitors,164.63,238.21
P012,Monitors Product 02,Technology,Monitors,169.08,233.04
P013,Monitors Product 03,Technology,Monitors,160.28,193.38
P014,Monitors Product 04,Technology,Monitors,157.68,235.55
P015,Monitors Product 05,Technology,Monitors,176.13,229.18
P016,Monitors Product 06,Technology,Monitors,186.44,219.21
P017,Monitors Product 07,Technology,Monitors,156.96,194.95
P018,Monitors Product 08,technology,Monitors,197.2,282.48
P019,Monitors Product 09,Technology,Monitors,176.98,203.88
P020,Monitors Product 10,Technology,Monitors,153.14,215.04
P021,Phones Product 01,Technology,Phones,357.57,543.4
P022,Phones Product 02,Technology,Phones,403.77,536.59
P023,Phones Product 03,Technology,Phones,401.94,619.05
P024,Phones Product 04,Technology,Phones,367.32,516.82
P025,Phones Product 05,Technology,Phones,422.24,527.58
P026,Phones Product 06,Technology,Phones,418.39,497.47
P027,Phones Product 07,Technology,Phones,389.81,570.34
P028,Phones Product 08,Technology,Phones,385.75,520.07
P029,Phones Product 09,Technology,Phones,386.08,467.41
P030,Phones Product 10,Technology,Phones,337.87,425.03
P031,Accessories Product 01,Technology,Accessories,43.97,58.34
P032,Accessories Product 02,Technology,Accessories,39.11,58.79
P033,Accessories Product 03,Technology,Accessories,40.89,54.32
P034,Accessories Product 04,Technology,Accessories,41.38,50.6
P035,Accessories Product 05,Technology,Accessories,45.81,60.9
P036,Accessories Product 06,Technology,Accessories,35.97,55.24
P037,Accessories Product 07,Technology,Accessories,46.97,67.61
P038,Accessories Product 08,Technology,Accessories,47.7,72.16
