OrderID,OrderDate,CustomerID,ProductID,SalespersonID,Quantity,UnitPrice,Discount,Sales,Cost
O000001,2025-04-14 00:00:00,C0790,P026,S001,3,497.47,0.0,1492.41,1255.17
O000002,2024-12-12 00:00:00,C1078,P028,S020,1,520.07,0.15,442.06,385.75
O000003,2024-04-20 00:00:00,C1136,P026,S005,3,497.47,0.05,1417.79,1255.17
O000004,2024-05-24 00:00:00,C0676,P073,S004,2,10.84,0.0,21.68,15.42
O000005,2025-02-04 00:00:00,C0856,P051,S017,3,13.09,0.1,35.34,31.98
O000006,2024-06-03 00:00:00,C1103,P014,S002,5,235.55,0.1,1059.98,788.4
O000007,2024-11-12 00:00:00,C0945,P011,S016,2,238.21,0.05,452.6,329.26
O000008,2025-06-14 00:00:00,C0360,P079,S008,2,7.05,0.15,11.98,12.02
O000009,2025-05-13 00:00:00,C0159,P113,S015,1,242.09,0.1,217.88,164.34
O000010,2024-08-18 00:00:00,C0138,P099,S005,1,262.29,0.1,236.06,220.85
O000011,2025-08-26 00:00:00,C1059,P091,S015,1,310.21,0.05,294.7,247.59
O000012,2025-06-14 00:00:00,C0668,P039,S020,1,56.32,0.1,50.69,40.39
O000013,2025-10-26 00:00:00,C0356,P085,S011,2,121.06,0.02,237.28,173.98
O000014,2024-12-18 00:00:00,C0415,P010,S012,2,591.46,0.02,1159.26,951.0
O000015,2025-11-23 00:00:00,C0339,P021,S013,8,543.4,0.05,4129.84,2860.56
O000016,2025-05-01 00:00:00,C0963,P017,S008,1,194.95,0.1,175.46,156.96
O000017,2024-12-03 00:00:00,C0735,P023,S012,1,619.05,0.0,619.05,401.94
O000018,2024-09-07 00:00:00,C1056,P043,S013,4,19.3,0.05,73.34,60.48
O000019,2025-05-26 00:00:00,C0363,P006,S001,1,707.84,0.0,707.84,470.1
O000020,2025-05-04 00:00:00,C0568,P098,S010,3,296.74,0.05,845.71,682.05
O000021,2025-04-15 00:00:00,C0147,P086,S011,4,165.37,0.02,648.25,466.24
O000022,2024-10-05 00:00:00,C1166,P077,S005,3,7.98,0.0,23.94,19.95
O000023,2025-01-15 00:00:00,C0615,P022,S010,1,536.59,0.02,525.86,403.77
O000024,2025-04-19 00:00:00,C0664,P105,S008,1,152.91,0.0,152.91,128.7
